# M82 NuSTAR axion decay
# https://arxiv.org/pdf/2412.03660
# mass [eV] photon coupling [GeV^-1]
5434829.402823621	3.308236760686259e-11
7564765.886435252	2.8053928329960506e-11
9430608.057259068	2.5406346404135793e-11
12125209.58597931	2.275523523352298e-11
14336862.862657074	2.1067490461974782e-11
17794554.9029848	1.928692902649752e-11
21796262.30298428	1.8044082035668914e-11
25885592.365334414	1.652587734725847e-11
30473073.970882367	1.5634411726452023e-11
40588250.32587005	1.430357810179394e-11
54300032.076548524	1.3085487081809118e-11
70125231.68072979	1.197508649876902e-11
86652808.47022584	1.0729495046826837e-11
98907895.1387632	1.0153643764493978e-11
115925215.67769292	9.710479734678644e-12
132327059.28967503	9.698449719090685e-12
159967726.97563016	9.892322256663217e-12
181010239.9427496	1.0655709455023862e-11
200359027.64708894	1.1857895232644406e-11
225730847.61695144	1.3627382981284301e-11
268189619.40725222	1.9006858600370587e-11
296906371.5881317	2.5134853720512734e-11
321541148.5627098	3.471101419152155e-11
333166090.34421176	4.399135208354831e-11
340690782.1622918	5.884914369494891e-11
339292919.89505255	8.046152441480257e-11
326191508.3009539	1.124469103666008e-10
302735197.573895	1.6412908841106293e-10
260704924.98575965	2.7880582609875735e-10
214819722.46976778	4.687203285196008e-10
170885391.8553442	8.500723489757594e-10
136528871.12394673	1.4450312932506877e-09
109076351.00830512	2.3781936678715965e-09
85249069.82403715	4.221759639730103e-09
